Deficiency,Method,Metric,Mean,Std,Min,Max
protanopia,daltonized,PSNR,72.6183874519,3.74714352257,62.4816177007,79.461350287
protanopia,daltonized,SSIM,0.999630991974,0.00048863944955,0.997175417933,0.999969856946
protanopia,daltonized,DeltaE_mean,6.69833660126,2.82463312149,2.61537075043,15.6966381073
protanopia,daltonized,DeltaE_std,4.2030787468,1.27318572998,2.11136436462,8.75077533722
protanopia,daltonized,ColorGradient_mean,1.83894904011,0.753989100833,0.693278670311,4.08518600464
protanopia,daltonized,ColorGradient_diff,-0.699550926685,0.362312555313,-1.69623732567,0.241644859314
protanopia,daltonized,Magnitude_Mean,15.7140103619,15.4538176538,-16.9183799852,61.7863006267
protanopia,daltonized,Magnitude_Std,108.666417743,32.6614606354,39.1471829321,200.677997777
protanopia,daltonized,Orientation_Mean,8.40922256287,2.07143314539,1.83160495954,13.7605847344
protanopia,daltonized,Orientation_Std,39.8389814256,4.49961430199,31.7170814375,54.6769383828
protanopia,daltonized,Magnitude_Max,1135.93640618,248.384021413,591.219456825,1597.38348558
protanopia,daltonized,Orientation_Max,89.9999996741,9.02738766347e-07,89.9999936338,90.0
protanopia,daltonized,Histogram_Correlation,0.625887642178,0.303532467762,-0.089763476426,0.993086898033
protanopia,daltonized,Edge_Preservation,0.947842734201,0.0301012488214,0.862838745117,0.994232177734
protanopia,glass_effect,PSNR,75.7319324706,5.03535015993,65.8924996294,90.1221025958
protanopia,glass_effect,SSIM,0.999854430982,0.000199941812268,0.998586894136,0.999997425286
protanopia,glass_effect,DeltaE_mean,5.60606384277,2.98152041435,1.33173441887,16.6544857025
protanopia,glass_effect,DeltaE_std,2.82381653786,1.52159631252,0.374067425728,7.63136577606
protanopia,glass_effect,ColorGradient_mean,1.66430845005,0.811691912655,0.435230702162,4.19678163528
protanopia,glass_effect,ColorGradient_diff,-0.350269734859,0.170034796,-0.946005821228,-0.0514923334122
protanopia,glass_effect,Magnitude_Mean,10.4269850172,19.0291368419,-52.4288133134,60.4859820134
protanopia,glass_effect,Magnitude_Std,31.7692017587,16.4411611468,7.48050425548,85.8837328499
protanopia,glass_effect,Orientation_Mean,2.54890586314,1.26702297688,0.947532336952,8.07292489014
protanopia,glass_effect,Orientation_Std,20.6209297142,4.54011001837,12.0417914244,35.1763894168
protanopia,glass_effect,Magnitude_Max,268.933889313,116.561852387,49.75922703,579.888192473
protanopia,glass_effect,Orientation_Max,89.9988414296,0.0121836072487,89.8704791658,90.0
protanopia,glass_effect,Histogram_Correlation,0.738197898958,0.299598075658,-0.0877699444856,0.994078311782
protanopia,glass_effect,Edge_Preservation,0.9875831604,0.00862932788077,0.956954956055,0.998886108398
deuteranopia,daltonized,PSNR,75.8366589535,3.45323807153,66.002165468,83.6992200076
deuteranopia,daltonized,SSIM,0.999964110018,2.65290901549e-05,0.999844255474,0.999994675485
deuteranopia,daltonized,DeltaE_mean,5.1586356163,2.462703228,1.48604059219,16.8322124481
deuteranopia,daltonized,DeltaE_std,3.64113354683,1.29725944996,1.8162535429,8.83718585968
deuteranopia,daltonized,ColorGradient_mean,1.79008432265,0.786473003396,0.646436810493,4.56392908096
deuteranopia,daltonized,ColorGradient_diff,-0.601821482182,0.312228173018,-1.40048122406,0.158432126045
deuteranopia,daltonized,Magnitude_Mean,12.795800175,10.6268543155,-6.02549149751,43.604344085
deuteranopia,daltonized,Magnitude_Std,81.4877664747,23.1168842339,31.0224618569,148.527837602
deuteranopia,daltonized,Orientation_Mean,7.44852227339,2.19959147182,-1.0704060866,14.1157633616
deuteranopia,daltonized,Orientation_Std,37.9132460015,4.72562277794,29.7852734545,52.9404592781
deuteranopia,daltonized,Magnitude_Max,842.855942852,185.422759604,380.648862716,1413.77306837
deuteranopia,daltonized,Orientation_Max,89.9997862665,0.00224852430491,89.9760965942,90.0
deuteranopia,daltonized,Histogram_Correlation,0.748112498414,0.299493646754,-0.0885715437871,0.996158844482
deuteranopia,daltonized,Edge_Preservation,0.958442824227,0.0245196359701,0.883544921875,0.995544433594
deuteranopia,glass_effect,PSNR,75.7319324706,5.03535015993,65.8924996294,90.1221025958
deuteranopia,glass_effect,SSIM,0.999854430982,0.000199941812268,0.998586894136,0.999997425286
deuteranopia,glass_effect,DeltaE_mean,5.60606384277,2.98152041435,1.33173441887,16.6544857025
deuteranopia,glass_effect,DeltaE_std,2.82381653786,1.52159631252,0.374067425728,7.63136577606
deuteranopia,glass_effect,ColorGradient_mean,1.66430845005,0.811691912655,0.435230702162,4.19678163528
deuteranopia,glass_effect,ColorGradient_diff,-0.350269734859,0.170034796,-0.946005821228,-0.0514923334122
deuteranopia,glass_effect,Magnitude_Mean,10.4269850172,19.0291368419,-52.4288133134,60.4859820134
deuteranopia,glass_effect,Magnitude_Std,31.7692017587,16.4411611468,7.48050425548,85.8837328499
deuteranopia,glass_effect,Orientation_Mean,2.54890586314,1.26702297688,0.947532336952,8.07292489014
deuteranopia,glass_effect,Orientation_Std,20.6209297142,4.54011001837,12.0417914244,35.1763894168
deuteranopia,glass_effect,Magnitude_Max,268.933889313,116.561852387,49.75922703,579.888192473
deuteranopia,glass_effect,Orientation_Max,89.9988414296,0.0121836072487,89.8704791658,90.0
deuteranopia,glass_effect,Histogram_Correlation,0.738197898958,0.299598075658,-0.0877699444856,0.994078311782
deuteranopia,glass_effect,Edge_Preservation,0.9875831604,0.00862932788077,0.956954956055,0.998886108398
tritanopia,daltonized,PSNR,72.7475086645,3.35989012595,63.6868758841,80.4166735872
tritanopia,daltonized,SSIM,0.999938483128,5.0925779347e-05,0.99973008456,0.999992293219
tritanopia,daltonized,DeltaE_mean,5.82217168808,1.3565030098,3.41835522652,10.2393541336
tritanopia,daltonized,DeltaE_std,3.29241061211,0.643672466278,1.2604136467,4.65015220642
tritanopia,daltonized,ColorGradient_mean,2.13430831156,0.862515454557,0.732166171074,4.96266841888
tritanopia,daltonized,ColorGradient_diff,-1.29026961327,0.40929800272,-2.5422296524,-0.47112095356
tritanopia,daltonized,Magnitude_Mean,21.7913158135,16.3318322942,-4.49820966391,74.8273268341
tritanopia,daltonized,Magnitude_Std,97.0948071094,23.3939030905,43.9437024923,162.065914178
tritanopia,daltonized,Orientation_Mean,8.03625355391,2.27392544151,-0.833775635532,15.9839696604
tritanopia,daltonized,Orientation_Std,38.7515831065,4.61520696554,30.3966086125,54.0408672617
tritanopia,daltonized,Magnitude_Max,1086.66890059,196.725903291,606.393864613,1672.0
tritanopia,daltonized,Orientation_Max,89.999962135,0.000396046723495,89.9957895286,90.0
tritanopia,daltonized,Histogram_Correlation,0.716967995036,0.30042991029,-0.105371846141,0.995285942458
tritanopia,daltonized,Edge_Preservation,0.950998578753,0.0270986142474,0.873092651367,0.994598388672
tritanopia,glass_effect,PSNR,75.7319324706,5.03535015993,65.8924996294,90.1221025958
tritanopia,glass_effect,SSIM,0.999854430982,0.000199941812268,0.998586894136,0.999997425286
tritanopia,glass_effect,DeltaE_mean,5.60606384277,2.98152041435,1.33173441887,16.6544857025
tritanopia,glass_effect,DeltaE_std,2.82381653786,1.52159631252,0.374067425728,7.63136577606
tritanopia,glass_effect,ColorGradient_mean,1.66430845005,0.811691912655,0.435230702162,4.19678163528
tritanopia,glass_effect,ColorGradient_diff,-0.350269734859,0.170034796,-0.946005821228,-0.0514923334122
tritanopia,glass_effect,Magnitude_Mean,10.4269850172,19.0291368419,-52.4288133134,60.4859820134
tritanopia,glass_effect,Magnitude_Std,31.7692017587,16.4411611468,7.48050425548,85.8837328499
tritanopia,glass_effect,Orientation_Mean,2.54890586314,1.26702297688,0.947532336952,8.07292489014
tritanopia,glass_effect,Orientation_Std,20.6209297142,4.54011001837,12.0417914244,35.1763894168
tritanopia,glass_effect,Magnitude_Max,268.933889313,116.561852387,49.75922703,579.888192473
tritanopia,glass_effect,Orientation_Max,89.9988414296,0.0121836072487,89.8704791658,90.0
tritanopia,glass_effect,Histogram_Correlation,0.738197898958,0.299598075658,-0.0877699444856,0.994078311782
tritanopia,glass_effect,Edge_Preservation,0.9875831604,0.00862932788077,0.956954956055,0.998886108398
